Country,Technology,Cost,Value (â‚¬/kg),Year
Greece,Renewable hydrogen directly connected to a renewable electricity generation source,CAPEX,4.018529735,2024.0
Latvia,Renewable hydrogen directly connected to a renewable electricity generation source,CAPEX,3.892334074,2024.0
Switzerland,Renewable hydrogen directly connected to a renewable electricity generation source,CAPEX,3.892334074,2024.0
Austria,Renewable hydrogen directly connected to a renewable electricity generation source,CAPEX,4.073016394,2024.0
Belgium,Renewable hydrogen directly connected to a renewable electricity generation source,CAPEX,4.783861867,2024.0
Czechia,Renewable hydrogen directly connected to a renewable electricity generation source,CAPEX,4.078406964,2024.0
Estonia,Renewable hydrogen directly connected to a renewable electricity generation source,CAPEX,3.437467606,2024.0
France,Renewable hydrogen directly connected to a renewable electricity generation source,CAPEX,3.771859076,2024.0
Germany,Renewable hydrogen directly connected to a renewable electricity generation source,CAPEX,3.285832049,2024.0
Ireland,Renewable hydrogen directly connected to a renewable electricity generation source,CAPEX,2.400754536,2024.0
Lithuania,Renewable hydrogen directly connected to a renewable electricity generation source,CAPEX,3.346016981,2024.0
Malta,Renewable hydrogen directly connected to a renewable electricity generation source,CAPEX,4.002583188,2024.0
Netherlands,Renewable hydrogen directly connected to a renewable electricity generation source,CAPEX,2.794944146,2024.0
Norway,Renewable hydrogen directly connected to a renewable electricity generation source,CAPEX,2.294683237,2024.0
Poland,Renewable hydrogen directly connected to a renewable electricity generation source,CAPEX,3.283152288,2024.0
Spain,Renewable hydrogen directly connected to a renewable electricity generation source,CAPEX,3.940042826,2024.0
Sweden,Renewable hydrogen directly connected to a renewable electricity generation source,CAPEX,3.355812992,2024.0
United Kingdom,Renewable hydrogen directly connected to a renewable electricity generation source,CAPEX,2.771003688,2024.0
Croatia,Renewable hydrogen directly connected to a renewable electricity generation source,Electricity costs,2.800958626,2024.0
Cyprus,Renewable hydrogen directly connected to a renewable electricity generation source,Electricity costs,1.489127569,2024.0
Hungary,Renewable hydrogen directly connected to a renewable electricity generation source,Electricity costs,3.935570049,2024.0
Italy,Renewable hydrogen directly connected to a renewable electricity generation source,Electricity costs,1.743665357,2024.0
Luxembourg,Renewable hydrogen directly connected to a renewable electricity generation source,Electricity costs,4.092582297,2024.0
Portugal,Renewable hydrogen directly connected to a renewable electricity generation source,Electricity costs,1.489127569,2024.0
Romania,Renewable hydrogen directly connected to a renewable electricity generation source,Electricity costs,2.076027422,2024.0
Slovakia,Renewable hydrogen directly connected to a renewable electricity generation source,Electricity costs,3.679906584,2024.0
Slovenia,Renewable hydrogen directly connected to a renewable electricity generation source,Electricity costs,3.778052874,2024.0
Bulgaria,Renewable hydrogen directly connected to a renewable electricity generation source,Electricity costs,2.03180894,2024.0
Denmark,Renewable hydrogen directly connected to a renewable electricity generation source,Electricity costs,2.354021087,2024.0
Finland,Renewable hydrogen directly connected to a renewable electricity generation source,Electricity costs,2.411472822,2024.0
Greece,Renewable hydrogen directly connected to a renewable electricity generation source,Electricity costs,1.144957685,2024.0
Latvia,Renewable hydrogen directly connected to a renewable electricity generation source,Electricity costs,3.187223675,2024.0
Switzerland,Renewable hydrogen directly connected to a renewable electricity generation source,Electricity costs,3.187223675,2024.0
Austria,Renewable hydrogen directly connected to a renewable electricity generation source,Electricity costs,3.330905863,2024.0
Belgium,Renewable hydrogen directly connected to a renewable electricity generation source,Electricity costs,3.896184376,2024.0
Czechia,Renewable hydrogen directly connected to a renewable electricity generation source,Electricity costs,3.335192552,2024.0
Estonia,Renewable hydrogen directly connected to a renewable electricity generation source,Electricity costs,2.821979961,2024.0
France,Renewable hydrogen directly connected to a renewable electricity generation source,Electricity costs,3.389584052,2024.0
Germany,Renewable hydrogen directly connected to a renewable electricity generation source,Electricity costs,2.963881724,2024.0
Ireland,Renewable hydrogen directly connected to a renewable electricity generation source,Electricity costs,1.77640905,2024.0
Lithuania,Renewable hydrogen directly connected to a renewable electricity generation source,Electricity costs,2.749304347,2024.0
Malta,Renewable hydrogen directly connected to a renewable electricity generation source,Electricity costs,1.494870229,2024.0
Netherlands,Renewable hydrogen directly connected to a renewable electricity generation source,Electricity costs,2.238450543,2024.0
Norway,Renewable hydrogen directly connected to a renewable electricity generation source,Electricity costs,1.886899624,2024.0
Poland,Renewable hydrogen directly connected to a renewable electricity generation source,Electricity costs,2.927319087,2024.0
Spain,Renewable hydrogen directly connected to a renewable electricity generation source,Electricity costs,1.545931429,2024.0
Sweden,Renewable hydrogen directly connected to a renewable electricity generation source,Electricity costs,2.772074567,2024.0
United Kingdom,Renewable hydrogen directly connected to a renewable electricity generation source,Electricity costs,2.676443578,2024.0
Croatia,Renewable hydrogen directly connected to a renewable electricity generation source,Grid fees and taxes,0.0,2024.0
Cyprus,Renewable hydrogen directly connected to a renewable electricity generation source,Grid fees and taxes,0.0,2024.0
Hungary,Renewable hydrogen directly connected to a renewable electricity generation source,Grid fees and taxes,0.0,2024.0
Italy,Renewable hydrogen directly connected to a renewable electricity generation source,Grid fees and taxes,0.0,2024.0
Luxembourg,Renewable hydrogen directly connected to a renewable electricity generation source,Grid fees and taxes,0.0,2024.0
Portugal,Renewable hydrogen directly connected to a renewable electricity generation source,Grid fees and taxes,0.0,2024.0
Romania,Renewable hydrogen directly connected to a renewable electricity generation source,Grid fees and taxes,0.0,2024.0
Slovakia,Renewable hydrogen directly connected to a renewable electricity generation source,Grid fees and taxes,0.0,2024.0
Slovenia,Renewable hydrogen directly connected to a renewable electricity generation source,Grid fees and taxes,0.0,2024.0
Bulgaria,Renewable hydrogen directly connected to a renewable electricity generation source,Grid fees and taxes,0.0,2024.0
Denmark,Renewable hydrogen directly connected to a renewable electricity generation source,Grid fees and taxes,0.0,2024.0
Finland,Renewable hydrogen directly connected to a renewable electricity generation source,Grid fees and taxes,0.0,2024.0
Greece,Renewable hydrogen directly connected to a renewable electricity generation source,Grid fees and taxes,0.0,2024.0
Latvia,Renewable hydrogen directly connected to a renewable electricity generation source,Grid fees and taxes,0.0,2024.0
Switzerland,Renewable hydrogen directly connected to a renewable electricity generation source,Grid fees and taxes,0.0,2024.0
Austria,Renewable hydrogen directly connected to a renewable electricity generation source,Grid fees and taxes,0.0,2024.0
Belgium,Renewable hydrogen directly connected to a renewable electricity generation source,Grid fees and taxes,0.0,2024.0
Czechia,Renewable hydrogen directly connected to a renewable electricity generation source,Grid fees and taxes,0.0,2024.0
Estonia,Renewable hydrogen directly connected to a renewable electricity generation source,Grid fees and taxes,0.0,2024.0
France,Renewable hydrogen directly connected to a renewable electricity generation source,Grid fees and taxes,0.0,2024.0
Germany,Renewable hydrogen directly connected to a renewable electricity generation source,Grid fees and taxes,0.0,2024.0
Ireland,Renewable hydrogen directly connected to a renewable electricity generation source,Grid fees and taxes,0.0,2024.0
Lithuania,Renewable hydrogen directly connected to a renewable electricity generation source,Grid fees and taxes,0.0,2024.0
Malta,Renewable hydrogen directly connected to a renewable electricity generation source,Grid fees and taxes,0.0,2024.0
Netherlands,Renewable hydrogen directly connected to a renewable electricity generation source,Grid fees and taxes,0.0,2024.0
Norway,Renewable hydrogen directly connected to a renewable electricity generation source,Grid fees and taxes,0.0,2024.0
Poland,Renewable hydrogen directly connected to a renewable electricity generation source,Grid fees and taxes,0.0,2024.0
Spain,Renewable hydrogen directly connected to a renewable electricity generation source,Grid fees and taxes,0.0,2024.0
Sweden,Renewable hydrogen directly connected to a renewable electricity generation source,Grid fees and taxes,0.0,2024.0
United Kingdom,Renewable hydrogen directly connected to a renewable electricity generation source,Grid fees and taxes,0.0,2024.0
Croatia,Renewable hydrogen directly connected to a renewable electricity generation source,Other OPEX,0.233888374,2024.0
Cyprus,Renewable hydrogen directly connected to a renewable electricity generation source,Other OPEX,0.21127024,2024.0
Hungary,Renewable hydrogen directly connected to a renewable electricity generation source,Other OPEX,0.290800731,2024.0
Italy,Renewable hydrogen directly connected to a renewable electricity generation source,Other OPEX,0.257875759,2024.0
Luxembourg,Renewable hydrogen directly connected to a renewable electricity generation source,Other OPEX,0.30934833,2024.0
Portugal,Renewable hydrogen directly connected to a renewable electricity generation source,Other OPEX,0.21127024,2024.0
Romania,Renewable hydrogen directly connected to a renewable electricity generation source,Other OPEX,0.363154298,2024.0
Slovakia,Renewable hydrogen directly connected to a renewable electricity generation source,Other OPEX,0.260599625,2024.0
Slovenia,Renewable hydrogen directly connected to a renewable electricity generation source,Other OPEX,0.272193485,2024.0
Bulgaria,Renewable hydrogen directly connected to a renewable electricity generation source,Other OPEX,0.351710979,2024.0
Denmark,Renewable hydrogen directly connected to a renewable electricity generation source,Other OPEX,0.192855902,2024.0
Finland,Renewable hydrogen directly connected to a renewable electricity generation source,Other OPEX,0.228180932,2024.0
Greece,Renewable hydrogen directly connected to a renewable electricity generation source,Other OPEX,0.214254373,2024.0
Latvia,Renewable hydrogen directly connected to a renewable electricity generation source,Other OPEX,0.202399801,2024.0
Switzerland,Renewable hydrogen directly connected to a renewable electricity generation source,Other OPEX,0.202399801,2024.0
Austria,Renewable hydrogen directly connected to a renewable electricity generation source,Other OPEX,0.219372742,2024.0
Belgium,Renewable hydrogen directly connected to a renewable electricity generation source,Other OPEX,0.286148166,2024.0
Czechia,Renewable hydrogen directly connected to a renewable electricity generation source,Other OPEX,0.219879122,2024.0
Estonia,Renewable hydrogen directly connected to a renewable electricity generation source,Other OPEX,0.236968041,2024.0
France,Renewable hydrogen directly connected to a renewable electricity generation source,Other OPEX,0.191082617,2024.0
Germany,Renewable hydrogen directly connected to a renewable electricity generation source,Other OPEX,0.22522492,2024.0
Ireland,Renewable hydrogen directly connected to a renewable electricity generation source,Other OPEX,0.154804876,2024.0
Lithuania,Renewable hydrogen directly connected to a renewable electricity generation source,Other OPEX,0.226320921,2024.0
Malta,Renewable hydrogen directly connected to a renewable electricity generation source,Other OPEX,0.212756385,2024.0
Netherlands,Renewable hydrogen directly connected to a renewable electricity generation source,Other OPEX,0.184818837,2024.0
Norway,Renewable hydrogen directly connected to a renewable electricity generation source,Other OPEX,0.147827599,2024.0
Poland,Renewable hydrogen directly connected to a renewable electricity generation source,Other OPEX,0.224908108,2024.0
Spain,Renewable hydrogen directly connected to a renewable electricity generation source,Other OPEX,0.206881467,2024.0
Sweden,Renewable hydrogen directly connected to a renewable electricity generation source,Other OPEX,0.22746142,2024.0
United Kingdom,Renewable hydrogen directly connected to a renewable electricity generation source,Other OPEX,0.181837507,2024.0
Austria,SMR,CAPEX,0.262847965,2024.0
Belgium,SMR,CAPEX,0.262847965,2024.0
Bulgaria,SMR,CAPEX,0.262847965,2024.0
Croatia,SMR,CAPEX,0.262847965,2024.0
Czechia,SMR,CAPEX,0.262847965,2024.0
Cyprus,SMR,CAPEX,0.262847965,2024.0
Denmark,SMR,CAPEX,0.262847965,2024.0
Estonia,SMR,CAPEX,0.262847965,2024.0
Finland,SMR,CAPEX,0.262847965,2024.0
France,SMR,CAPEX,0.262847965,2024.0
Germany,SMR,CAPEX,0.262847965,2024.0
Greece,SMR,CAPEX,0.262847965,2024.0
Hungary,SMR,CAPEX,0.262847965,2024.0
Ireland,SMR,CAPEX,0.262847965,2024.0
Italy,SMR,CAPEX,0.262847965,2024.0
Latvia,SMR,CAPEX,0.262847965,2024.0
Lithuania,SMR,CAPEX,0.262847965,2024.0
Luxembourg,SMR,CAPEX,0.262847965,2024.0
Malta,SMR,CAPEX,0.262847965,2024.0
Netherlands,SMR,CAPEX,0.262847965,2024.0
Norway,SMR,CAPEX,0.262847965,2024.0
Poland,SMR,CAPEX,0.262847965,2024.0
Portugal,SMR,CAPEX,0.262847965,2024.0
Romania,SMR,CAPEX,0.262847965,2024.0
Slovakia,SMR,CAPEX,0.262847965,2024.0
Slovenia,SMR,CAPEX,0.262847965,2024.0
Spain,SMR,CAPEX,0.262847965,2024.0
Sweden,SMR,CAPEX,0.262847965,2024.0
Switzerland,SMR,CAPEX,0.262847965,2024.0
United Kingdom,SMR,CAPEX,0.262847965,2024.0
Austria,SMR,CO2 costs,0.494033435,2024.0
Belgium,SMR,CO2 costs,0.494033435,2024.0
Bulgaria,SMR,CO2 costs,0.494033435,2024.0
Croatia,SMR,CO2 costs,0.494033435,2024.0
Czechia,SMR,CO2 costs,0.494033435,2024.0
Cyprus,SMR,CO2 costs,0.494033435,2024.0
Denmark,SMR,CO2 costs,0.494033435,2024.0
Estonia,SMR,CO2 costs,0.494033435,2024.0
Finland,SMR,CO2 costs,0.494033435,2024.0
France,SMR,CO2 costs,0.494033435,2024.0
Germany,SMR,CO2 costs,0.494033435,2024.0
Greece,SMR,CO2 costs,0.494033435,2024.0
Hungary,SMR,CO2 costs,0.494033435,2024.0
Ireland,SMR,CO2 costs,0.494033435,2024.0
Italy,SMR,CO2 costs,0.494033435,2024.0
Latvia,SMR,CO2 costs,0.494033435,2024.0
Lithuania,SMR,CO2 costs,0.494033435,2024.0
Luxembourg,SMR,CO2 costs,0.494033435,2024.0
Malta,SMR,CO2 costs,0.494033435,2024.0
Netherlands,SMR,CO2 costs,0.494033435,2024.0
Norway,SMR,CO2 costs,0.494033435,2024.0
Poland,SMR,CO2 costs,0.494033435,2024.0
Portugal,SMR,CO2 costs,0.494033435,2024.0
Romania,SMR,CO2 costs,0.494033435,2024.0
Slovakia,SMR,CO2 costs,0.494033435,2024.0
Slovenia,SMR,CO2 costs,0.494033435,2024.0
Spain,SMR,CO2 costs,0.494033435,2024.0
Sweden,SMR,CO2 costs,0.494033435,2024.0
Switzerland,SMR,CO2 costs,0.494033435,2024.0
United Kingdom,SMR,CO2 costs,0.332328005,2024.0
Austria,SMR,Natural gas costs,2.311832537,2024.0
Belgium,SMR,Natural gas costs,1.914628417,2024.0
Bulgaria,SMR,Natural gas costs,2.097858092,2024.0
Croatia,SMR,Natural gas costs,2.745876012,2024.0
Czechia,SMR,Natural gas costs,2.508635603,2024.0
Cyprus,SMR,Natural gas costs,2.508635603,2024.0
Denmark,SMR,Natural gas costs,2.529146958,2024.0
Estonia,SMR,Natural gas costs,2.884421105,2024.0
Finland,SMR,Natural gas costs,3.355573443,2024.0
France,SMR,Natural gas costs,2.007808912,2024.0
Germany,SMR,Natural gas costs,2.303545855,2024.0
Greece,SMR,Natural gas costs,2.181570188,2024.0
Hungary,SMR,Natural gas costs,2.598659707,2024.0
Ireland,SMR,Natural gas costs,1.712466483,2024.0
Italy,SMR,Natural gas costs,2.40187448,2024.0
Latvia,SMR,Natural gas costs,2.6590449,2024.0
Lithuania,SMR,Natural gas costs,1.830513733,2024.0
Luxembourg,SMR,Natural gas costs,3.736590504,2024.0
Malta,SMR,Natural gas costs,3.736590504,2024.0
Netherlands,SMR,Natural gas costs,1.932730583,2024.0
Norway,SMR,Natural gas costs,1.932730583,2024.0
Poland,SMR,Natural gas costs,2.706533279,2024.0
Portugal,SMR,Natural gas costs,2.145843129,2024.0
Romania,SMR,Natural gas costs,2.164796929,2024.0
Slovakia,SMR,Natural gas costs,3.226325212,2024.0
Slovenia,SMR,Natural gas costs,2.633321377,2024.0
Spain,SMR,Natural gas costs,1.835933306,2024.0
Sweden,SMR,Natural gas costs,3.65003255,2024.0
Switzerland,SMR,Natural gas costs,3.65003255,2024.0
United Kingdom,SMR,Natural gas costs,2.665691184,2024.0
Austria,SMR,Other OPEX,0.091633056,2024.0
Belgium,SMR,Other OPEX,0.091633056,2024.0
Bulgaria,SMR,Other OPEX,0.091633056,2024.0
Croatia,SMR,Other OPEX,0.091633056,2024.0
Czechia,SMR,Other OPEX,0.091633056,2024.0
Cyprus,SMR,Other OPEX,0.091633056,2024.0
Denmark,SMR,Other OPEX,0.091633056,2024.0
Estonia,SMR,Other OPEX,0.091633056,2024.0
Finland,SMR,Other OPEX,0.091633056,2024.0
France,SMR,Other OPEX,0.091633056,2024.0
Germany,SMR,Other OPEX,0.091633056,2024.0
Greece,SMR,Other OPEX,0.091633056,2024.0
Hungary,SMR,Other OPEX,0.091633056,2024.0
Ireland,SMR,Other OPEX,0.091633056,2024.0
Italy,SMR,Other OPEX,0.091633056,2024.0
Latvia,SMR,Other OPEX,0.091633056,2024.0
Lithuania,SMR,Other OPEX,0.091633056,2024.0
Luxembourg,SMR,Other OPEX,0.091633056,2024.0
Malta,SMR,Other OPEX,0.091633056,2024.0
Netherlands,SMR,Other OPEX,0.091633056,2024.0
Norway,SMR,Other OPEX,0.091633056,2024.0
Poland,SMR,Other OPEX,0.091633056,2024.0
Portugal,SMR,Other OPEX,0.091633056,2024.0
Romania,SMR,Other OPEX,0.091633056,2024.0
Slovakia,SMR,Other OPEX,0.091633056,2024.0
Slovenia,SMR,Other OPEX,0.091633056,2024.0
Spain,SMR,Other OPEX,0.091633056,2024.0
Sweden,SMR,Other OPEX,0.091633056,2024.0
Switzerland,SMR,Other OPEX,0.091633056,2024.0
United Kingdom,SMR,Other OPEX,0.091633056,2024.0
